Model,MAE,RMSE,R2_Score,MAPE (%)
SARIMA,0.1569,0.2027,0.0814,12.93
RandomForest,0.2663,0.3285,-1.4134,20.26
XGBoost,0.2767,0.3386,-1.5643,21.11
LSTM,0.5897,0.6207,-7.6149,48.37
